Date,AAPL,MSFT,GOOG,META,AMZN
2024-01-03,-0.0074876270329862216,-0.0007280692318845094,0.005732362003289415,-0.005255590099617735,-0.00973782115920796
2024-01-04,-0.012700174886557836,-0.007177684891576663,-0.016529022411283956,0.007692962521064661,-0.026267891590348702
2024-01-05,-0.004012999021178465,-0.0005161818636993942,-0.004708795148769096,0.01391443127651426,0.00463442024626004
2024-01-08,0.02417483838355161,0.018871423708217705,0.02285483101921626,0.0190652848180477,0.026576703830634596
2024-01-09,-0.002263368541841837,0.002935903126852102,0.01444522015423777,-0.0034295432994502217,0.015224607114340927
2024-01-10,0.005671299098380933,0.018573991713664473,0.008698059586536022,0.03648278146008277,0.015590940651907248
2024-01-11,-0.003222454950943421,0.0048594694516135295,-0.0009040576075507456,-0.00215943678599817,0.009432101662268044
2024-01-12,0.0017780675566079207,0.009983653288668348,0.003967679834414817,0.01303848476081626,-0.0036086969005325598
2024-01-16,-0.012317094791747807,0.004633410514319314,-0.0011093163937577755,-0.01877206494108241,-0.009442449238027617
2024-01-17,-0.0051734693800518095,-0.002049840105487921,-0.008259430064244344,0.002476444902735908,-0.009467203666572499
2024-01-18,0.032570608535671175,0.011297397481571325,0.01469670697900849,0.021065883368310834,0.011798781932089941
2024-01-19,0.015532971686947006,0.012186940869297613,0.02055304582302786,0.019461343527588104,0.011986946826648914
2024-01-22,0.012163429560948291,-0.005418085638227432,-0.0017570561278876795,-0.004355253795151892,-0.003604979862209201
2024-01-23,0.0066530578263437334,0.006027512182700034,0.00656683302602068,0.008957963466172725,0.008011406531487353
2024-01-24,-0.0034838415599428574,0.009175232269200917,0.011232254887930004,0.014278315716741208,0.005447960655367012
2024-01-25,-0.0016966939927450797,0.005738269600343182,0.021882175479419397,0.006347602333445446,0.005609771850602074
2024-01-26,-0.009012640177476383,-0.00232170123960751,0.0009764498104798403,0.002441821744123107,0.008684596622424712
2024-01-29,-0.0035859233158179737,0.014334129942259022,0.006827382133904658,0.017455602194163866,0.01344896590822775
2024-01-30,-0.019245863199048974,-0.002758066503533718,-0.011560110939758284,-0.0023938538965055933,-0.014014601164705653
