,AAPL,MSFT,GOOG,META,AMZN
AAPL,0.0003229044451553098,0.00012448500334274638,0.0001519088629369225,0.0001639581612405681,0.00017421895385418533
MSFT,0.00012448500334274638,0.00019939737091952426,0.00013698557931090638,0.00020898876713133454,0.0001814365835871604
GOOG,0.0001519088629369225,0.00013698557931090638,0.0003554319275062728,0.00018601262166603792,0.00020230699002850652
META,0.0001639581612405681,0.00020898876713133454,0.00018601262166603792,0.0005690655943211135,0.000302517385178297
AMZN,0.00017421895385418533,0.0001814365835871604,0.00020230699002850652,0.000302517385178297,0.0004052253114639067
