Date,AAPL,MSFT
2024-01-02,183.90321350097656,365.42156982421875
2024-01-03,182.52622985839844,365.1556091308594
2024-01-04,180.2081298828125,362.53466796875
2024-01-05,179.48497009277344,362.347412109375
2024-01-08,183.823974609375,369.18548583984375
2024-01-09,183.40789794921875,370.2693786621094
2024-01-10,184.4480743408203,377.14678955078125
2024-01-11,183.85369873046875,378.9795227050781
2024-01-12,184.18060302734375,382.7630310058594
2024-01-16,181.91201782226562,384.5366516113281
2024-01-17,180.97093200683594,383.7484436035156
2024-01-18,186.86526489257812,388.08367919921875
2024-01-19,189.76783752441406,392.8132019042969
2024-01-22,192.07601928710938,390.6849365234375
2024-01-23,193.35397338867188,393.039794921875
2024-01-24,192.6803436279297,396.64605712890625
2024-01-25,192.3534393310547,398.922119140625
2024-01-26,190.61981201171875,397.9959411621094
2024-01-29,189.93624877929688,403.70086669921875
2024-01-30,186.28077697753906,402.5874938964844
2024-01-31,182.6748046875,391.7392272949219
2024-02-01,185.11181640625,397.8481140136719
2024-02-02,184.1112518310547,405.1788330078125
2024-02-05,185.92413330078125,399.6906433105469
2024-02-06,187.5289764404297,399.5330505371094
2024-02-07,187.63796997070312,407.96728515625
2024-02-08,186.55816650390625,408.0263366699219
2024-02-09,187.32192993164062,414.37176513671875
2024-02-12,185.63568115234375,409.1595153808594
2024-02-13,183.5427703857422,400.3507995605469
2024-02-14,182.65994262695312,404.2203674316406
2024-02-15,182.37228393554688,401.32806396484375
2024-02-16,180.8348388671875,398.8602600097656
2024-02-20,180.0908966064453,397.60662841796875
2024-02-21,180.8447723388672,397.0044250488281
2024-02-22,182.878173828125,406.35260009765625
2024-02-23,181.0431365966797,405.0594482421875
2024-02-26,179.6941375732422,402.29547119140625
2024-02-27,181.15223693847656,402.2362976074219
2024-02-28,179.9520263671875,402.4731750488281
2024-02-29,179.28746032714844,408.3170166015625
2024-03-01,178.20628356933594,410.15301513671875
2024-03-04,173.68319702148438,409.58050537109375
2024-03-05,168.7434539794922,397.4684143066406
2024-03-06,167.75157165527344,396.9156494140625
2024-03-07,167.6325225830078,403.8749084472656
2024-03-08,169.3485565185547,400.9924621582031
2024-03-11,171.35220336914062,399.3143310546875
2024-03-12,171.82830810546875,409.9358825683594
2024-03-13,169.7452850341797,409.7582092285156
2024-03-14,171.6001434326172,419.7479553222656
2024-03-15,171.22323608398438,411.0611877441406
2024-03-18,172.31436157226562,411.9495849609375
2024-03-19,174.65524291992188,415.98699951171875
2024-03-20,177.22430419921875,419.7578125
2024-03-21,169.9833526611328,423.84454345703125
2024-03-22,170.88600158691406,423.22265625
2024-03-25,169.46755981445312,417.41827392578125
2024-03-26,168.33680725097656,416.2239074707031
2024-03-27,171.90765380859375,416.0067138671875
2024-03-28,170.0924530029297,415.30584716796875
2024-04-01,168.65420532226562,419.1063232421875
2024-04-02,167.4738311767578,416.0166015625
2024-04-03,168.2772674560547,415.0393371582031
2024-04-04,167.45399475097656,412.50244140625
2024-04-05,168.2078399658203,420.04412841796875
2024-04-08,167.0869903564453,419.12603759765625
2024-04-09,168.29713439941406,420.7943115234375
2024-04-10,166.42242431640625,417.81317138671875
2024-04-11,173.62367248535156,422.4230651855469
2024-04-12,175.12144470214844,416.4706726074219
2024-04-15,171.2926788330078,408.3170166015625
2024-04-16,168.00949096679688,409.244873046875
2024-04-17,166.640625,406.5401611328125
2024-04-18,165.68838500976562,399.0675354003906
2024-04-19,163.66490173339844,393.98382568359375
2024-04-22,164.49810791015625,395.8001403808594
2024-04-23,165.5495147705078,402.3251037597656
2024-04-24,167.65237426757812,403.7958984375
2024-04-25,168.5153350830078,393.9048767089844
2024-04-26,167.93011474609375,401.0911865234375
2024-04-29,172.09613037109375,397.07354736328125
2024-04-30,168.9517822265625,384.31982421875
2024-05-01,167.93011474609375,389.85760498046875
2024-05-02,171.6299285888672,392.7203063964844
2024-05-03,181.89617919921875,401.42681884765625
2024-05-06,180.23971557617188,408.2182922363281
2024-05-07,180.92410278320312,404.07232666015625
2024-05-08,181.2613983154297,405.2568664550781
2024-05-09,183.07655334472656,407.01397705078125
2024-05-10,181.81512451171875,409.4028625488281
2024-05-13,185.02334594726562,408.3959655761719
2024-05-14,186.1655731201172,411.19940185546875
2024-05-15,188.44012451171875,418.3887939453125
2024-05-16,188.55929565429688,416.32196044921875
2024-05-17,188.589111328125,415.55059814453125
2024-05-20,189.75120544433594,420.6237487792969
2024-05-21,191.05238342285156,424.2827453613281
2024-05-22,189.61215209960938,425.7463073730469
2024-05-23,185.61929321289062,422.26531982421875
2024-05-24,188.6983642578125,425.3902893066406
2024-05-28,188.70831298828125,425.5485534667969
2024-05-29,189.0062713623047,424.4112854003906
2024-05-30,189.99949645996094,410.07208251953125
2024-05-31,190.9530487060547,410.5269775390625
2024-06-03,192.72103881835938,408.9347839355469
2024-06-04,193.0388946533203,411.4565124511719
2024-06-05,194.5486297607422,419.3084716796875
2024-06-06,193.1680145263672,419.8128662109375
2024-06-07,195.561767578125,419.1502990722656
2024-06-10,191.81719970703125,423.12567138671875
2024-06-11,205.7525177001953,427.8823547363281
2024-06-12,211.6326141357422,436.16943359375
2024-06-13,212.7947235107422,436.6836242675781
2024-06-14,211.0565185546875,437.6626892089844
2024-06-17,215.2083282470703,443.39837646484375
2024-06-18,212.8443603515625,441.3908996582031
2024-06-20,208.26547241210938,440.7580261230469
2024-06-21,206.09024047851562,444.7926940917969
2024-06-24,206.73587036132812,442.7062072753906
2024-06-25,207.65960693359375,445.94976806640625
2024-06-26,211.81138610839844,447.1463623046875
