,Mean Return,Volatility
AAPL,0.0009603340225507038,0.2852576382485452
MSFT,0.0007029637460352088,0.22416096330922597
GOOG,0.0017603563249811581,0.29928054686461125
META,0.0014199061225406192,0.3786879054959645
AMZN,0.0010382184483452774,0.3195571599712709
